486
178
(40.000000, -47.231499, 70.000008) (0.400000, 0.227685, 0.700000) (0.000000, 0.000000)
(40.000000, -48.571400, 60.000004) (0.400000, 0.214286, 0.600000) (0.000000, 0.000000)
(30.000002, -48.571400, 60.000004) (0.300000, 0.214286, 0.600000) (0.000000, 0.000000)
(30.000002, -46.613098, 70.000008) (0.300000, 0.233869, 0.700000) (0.000000, 0.000000)
(40.000000, -47.231499, 70.000008) (0.400000, 0.227685, 0.700000) (0.000000, 0.000000)
(30.000002, -48.571400, 60.000004) (0.300000, 0.214286, 0.600000) (0.000000, 0.000000)
(40.000000, -40.583401, 80.000008) (0.400000, 0.294166, 0.800000) (0.000000, 0.000000)
(40.000000, -47.231499, 70.000008) (0.400000, 0.227685, 0.700000) (0.000000, 0.000000)
(30.000002, -46.613098, 70.000008) (0.300000, 0.233869, 0.700000) (0.000000, 0.000000)
(30.000002, -40.583401, 80.000008) (0.300000, 0.294166, 0.800000) (0.000000, 0.000000)
(40.000000, -40.583401, 80.000008) (0.400000, 0.294166, 0.800000) (0.000000, 0.000000)
(30.000002, -46.613098, 70.000008) (0.300000, 0.233869, 0.700000) (0.000000, 0.000000)
(40.000000, -30.585400, 90.000008) (0.400000, 0.394146, 0.900000) (0.000000, 0.000000)
(40.000000, -40.583401, 80.000008) (0.400000, 0.294166, 0.800000) (0.000000, 0.000000)
(30.000002, -40.583401, 80.000008) (0.300000, 0.294166, 0.800000) (0.000000, 0.000000)
(30.000002, -27.575802, 90.000008) (0.300000, 0.424242, 0.900000) (0.000000, 0.000000)
(40.000000, -30.585400, 90.000008) (0.400000, 0.394146, 0.900000) (0.000000, 0.000000)
(30.000002, -40.583401, 80.000008) (0.300000, 0.294166, 0.800000) (0.000000, 0.000000)
(50.000000, -43.861099, 10.000000) (0.500000, 0.261389, 0.100000) (0.000000, 0.000000)
(50.000000, -58.672401, 0.000000) (0.500000, 0.113276, 0.000000) (0.000000, 0.000000)
(40.000000, -33.368401, 0.000000) (0.400000, 0.366316, 0.000000) (0.000000, 0.000000)
(40.000000, -30.399899, 10.000000) (0.400000, 0.396001, 0.100000) (0.000000, 0.000000)
(50.000000, -43.861099, 10.000000) (0.500000, 0.261389, 0.100000) (0.000000, 0.000000)
(40.000000, -33.368401, 0.000000) (0.400000, 0.366316, 0.000000) (0.000000, 0.000000)
(50.000000, -52.065598, 20.000000) (0.500000, 0.179344, 0.200000) (0.000000, 0.000000)
(50.000000, -43.861099, 10.000000) (0.500000, 0.261389, 0.100000) (0.000000, 0.000000)
(40.000000, -30.399899, 10.000000) (0.400000, 0.396001, 0.100000) (0.000000, 0.000000)
(40.000000, -37.553101, 20.000000) (0.400000, 0.324469, 0.200000) (0.000000, 0.000000)
(50.000000, -52.065598, 20.000000) (0.500000, 0.179344, 0.200000) (0.000000, 0.000000)
(40.000000, -30.399899, 10.000000) (0.400000, 0.396001, 0.100000) (0.000000, 0.000000)
(50.000000, -60.754478, 30.000002) (0.500000, 0.092455, 0.300000) (0.000000, 0.000000)
(50.000000, -52.065598, 20.000000) (0.500000, 0.179344, 0.200000) (0.000000, 0.000000)
(40.000000, -37.553101, 20.000000) (0.400000, 0.324469, 0.200000) (0.000000, 0.000000)
(40.000000, -33.605400, 30.000002) (0.400000, 0.363946, 0.300000) (0.000000, 0.000000)
(50.000000, -60.754478, 30.000002) (0.500000, 0.092455, 0.300000) (0.000000, 0.000000)
(40.000000, -37.553101, 20.000000) (0.400000, 0.324469, 0.200000) (0.000000, 0.000000)
(50.000000, -52.838600, 40.000000) (0.500000, 0.171614, 0.400000) (0.000000, 0.000000)
(50.000000, -60.754478, 30.000002) (0.500000, 0.092455, 0.300000) (0.000000, 0.000000)
(40.000000, -33.605400, 30.000002) (0.400000, 0.363946, 0.300000) (0.000000, 0.000000)
(40.000000, -59.404198, 40.000000) (0.400000, 0.105958, 0.400000) (0.000000, 0.000000)
(50.000000, -52.838600, 40.000000) (0.500000, 0.171614, 0.400000) (0.000000, 0.000000)
(40.000000, -33.605400, 30.000002) (0.400000, 0.363946, 0.300000) (0.000000, 0.000000)
(50.000000, -42.716999, 50.000000) (0.500000, 0.272830, 0.500000) (0.000000, 0.000000)
(50.000000, -52.838600, 40.000000) (0.500000, 0.171614, 0.400000) (0.000000, 0.000000)
(40.000000, -59.404198, 40.000000) (0.400000, 0.105958, 0.400000) (0.000000, 0.000000)
(40.000000, -42.716999, 50.000000) (0.400000, 0.272830, 0.500000) (0.000000, 0.000000)
(50.000000, -42.716999, 50.000000) (0.500000, 0.272830, 0.500000) (0.000000, 0.000000)
(40.000000, -59.404198, 40.000000) (0.400000, 0.105958, 0.400000) (0.000000, 0.000000)
(50.000000, -48.571400, 60.000004) (0.500000, 0.214286, 0.600000) (0.000000, 0.000000)
(50.000000, -42.716999, 50.000000) (0.500000, 0.272830, 0.500000) (0.000000, 0.000000)
(40.000000, -42.716999, 50.000000) (0.400000, 0.272830, 0.500000) (0.000000, 0.000000)
(40.000000, -48.571400, 60.000004) (0.400000, 0.214286, 0.600000) (0.000000, 0.000000)
(50.000000, -48.571400, 60.000004) (0.500000, 0.214286, 0.600000) (0.000000, 0.000000)
(40.000000, -42.716999, 50.000000) (0.400000, 0.272830, 0.500000) (0.000000, 0.000000)
(50.000000, -47.231499, 70.000008) (0.500000, 0.227685, 0.700000) (0.000000, 0.000000)
(50.000000, -48.571400, 60.000004) (0.500000, 0.214286, 0.600000) (0.000000, 0.000000)
(40.000000, -48.571400, 60.000004) (0.400000, 0.214286, 0.600000) (0.000000, 0.000000)
(40.000000, -47.231499, 70.000008) (0.400000, 0.227685, 0.700000) (0.000000, 0.000000)
(50.000000, -47.231499, 70.000008) (0.500000, 0.227685, 0.700000) (0.000000, 0.000000)
(40.000000, -48.571400, 60.000004) (0.400000, 0.214286, 0.600000) (0.000000, 0.000000)
(50.000000, -40.583401, 80.000008) (0.500000, 0.294166, 0.800000) (0.000000, 0.000000)
(50.000000, -47.231499, 70.000008) (0.500000, 0.227685, 0.700000) (0.000000, 0.000000)
(40.000000, -47.231499, 70.000008) (0.400000, 0.227685, 0.700000) (0.000000, 0.000000)
(40.000000, -40.583401, 80.000008) (0.400000, 0.294166, 0.800000) (0.000000, 0.000000)
(50.000000, -40.583401, 80.000008) (0.500000, 0.294166, 0.800000) (0.000000, 0.000000)
(40.000000, -47.231499, 70.000008) (0.400000, 0.227685, 0.700000) (0.000000, 0.000000)
(50.000000, -30.585400, 90.000008) (0.500000, 0.394146, 0.900000) (0.000000, 0.000000)
(50.000000, -40.583401, 80.000008) (0.500000, 0.294166, 0.800000) (0.000000, 0.000000)
(40.000000, -40.583401, 80.000008) (0.400000, 0.294166, 0.800000) (0.000000, 0.000000)
(40.000000, -30.585400, 90.000008) (0.400000, 0.394146, 0.900000) (0.000000, 0.000000)
(50.000000, -30.585400, 90.000008) (0.500000, 0.394146, 0.900000) (0.000000, 0.000000)
(40.000000, -40.583401, 80.000008) (0.400000, 0.294166, 0.800000) (0.000000, 0.000000)
(60.000004, -59.960800, 10.000000) (0.600000, 0.100392, 0.100000) (0.000000, 0.000000)
(60.000004, -59.960800, 0.000000) (0.600000, 0.100392, 0.000000) (0.000000, 0.000000)
(50.000000, -58.672401, 0.000000) (0.500000, 0.113276, 0.000000) (0.000000, 0.000000)
(50.000000, -43.861099, 10.000000) (0.500000, 0.261389, 0.100000) (0.000000, 0.000000)
(60.000004, -59.960800, 10.000000) (0.600000, 0.100392, 0.100000) (0.000000, 0.000000)
(50.000000, -58.672401, 0.000000) (0.500000, 0.113276, 0.000000) (0.000000, 0.000000)
(60.000004, -66.516182, 20.000000) (0.600000, 0.034838, 0.200000) (0.000000, 0.000000)
(60.000004, -59.960800, 10.000000) (0.600000, 0.100392, 0.100000) (0.000000, 0.000000)
(50.000000, -43.861099, 10.000000) (0.500000, 0.261389, 0.100000) (0.000000, 0.000000)
(50.000000, -52.065598, 20.000000) (0.500000, 0.179344, 0.200000) (0.000000, 0.000000)
(60.000004, -66.516182, 20.000000) (0.600000, 0.034838, 0.200000) (0.000000, 0.000000)
(50.000000, -43.861099, 10.000000) (0.500000, 0.261389, 0.100000) (0.000000, 0.000000)
(60.000004, -59.229000, 30.000002) (0.600000, 0.107710, 0.300000) (0.000000, 0.000000)
(60.000004, -66.516182, 20.000000) (0.600000, 0.034838, 0.200000) (0.000000, 0.000000)
(50.000000, -52.065598, 20.000000) (0.500000, 0.179344, 0.200000) (0.000000, 0.000000)
